prompt,source,category
Write a function to check if one tuple is a subset of another tuple.,mbpp,coding
"Today, Richard went to the amusement park. Between what times could they have gone?
We know that:
Richard woke up at 5am.
Mary saw Richard buying a phone at the electronics store from 11am to 6pm.
Leslie saw Richard working out at the gym from 6pm to 8pm.
Kimberly saw Richard attending class at the school from 8pm to 9pm.
Nancy saw Richard buying cookies at a bakery from 9pm to 10pm.
The amusement park was closed after 10pm.
Between what times could Richard have gone to the amusement park?
Options:
(A) 6pm to 8pm
(B) 5am to 11am
(C) 11am to 6pm
(D) 8pm to 9pm",bbh,reasoning
Write a function to find numbers divisible by m or n from a list of numbers using lambda function.,mbpp,coding
"Create a Python class for implementing a queue data structure that can store and manipulate data, similar to a makeshift mailbox or line. Your implementation should include methods for adding (enqueueing) and removing (dequeuing) elements from the queue, checking if the queue is empty or full, and displaying the current state of the queue. Consider using a list or a deque data structure to implement your queue.",ultrachat,chat
"Today, Samantha went to the swimming pool. Between what times could they have gone?
We know that:
Samantha woke up at 6am.
James saw Samantha buying lunch at the deli from 6am to 1pm.
Emily saw Samantha playing tennis at the tennis court from 1pm to 2pm.
Kimberly saw Samantha working out at the gym from 4pm to 5pm.
The swimming pool was closed after 5pm.
Between what times could Samantha have gone to the swimming pool?
Options:
(A) 4pm to 5pm
(B) 2pm to 4pm
(C) 6am to 1pm
(D) 1pm to 2pm",bbh,reasoning
"
def valid_date(date):
    """"""You have to write a function which validates a given date string and
    returns True if the date is valid otherwise False.
    The date is valid if all of the following rules are satisfied:
    1. The date string is not empty.
    2. The number of days is not less than 1 or higher than 31 days for months 1,3,5,7,8,10,12. And the number of days is not less than 1 or higher than 30 days for months 4,6,9,11. And, the number of days is not less than 1 or higher than 29 for the month 2.
    3. The months should not be less than 1 or higher than 12.
    4. The date should be in the format: mm-dd-yyyy

    for example: 
    valid_date('03-11-2000') => True

    valid_date('15-01-2012') => False

    valid_date('04-0-2040') => False

    valid_date('06-04-2020') => True

    valid_date('06/04/2020') => False
    """"""
",humaneval,coding
"My new house has 12 medium ceiling lights but I have seen small and large ceiling lights in other rooms. The small ones require 1 bulb, the medium ones require 2, and the large ones need 3 bulbs. How many bulbs should I buy if my wife says she saw twice as many large ceiling lights as medium ceiling lights and ten more small lights than medium ones?",gsm8k,math
Can you recommend any online certification programs for web development?,ultrachat,chat
"Today, Andrew went to the park. Between what times could they have gone?
We know that:
Andrew woke up at 5am.
Tiffany saw Andrew reading at the library from 6am to 10am.
Nancy saw Andrew walking in the garden from 10am to 12pm.
Sarah saw Andrew working out at the gym from 12pm to 5pm.
Emily saw Andrew waiting at the airport from 5pm to 9pm.
The park was closed after 9pm.
Between what times could Andrew have gone to the park?
Options:
(A) 12pm to 5pm
(B) 5pm to 9pm
(C) 6am to 10am
(D) 5am to 6am",bbh,reasoning
"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?",gsm8k,math
"Create a visually appealing cookbook with easy-to-follow recipes for healthy smoothies and juices, including a variety of ingredients and flavors. The recipes should focus on using natural, whole foods and avoiding processed ingredients. Include tips for creating healthy combinations and variations and suggest ways to integrate smoothies and juices into a balanced diet. Provide nutritional information for each recipe and use high-quality images to showcase the finished products.",ultrachat,chat
Write a python function to find the first digit in factorial of a given number.,mbpp,coding
How does the weather in Bergen impact the daily life of residents compared to other cities in Norway?,ultrachat,chat
What partnerships or initiatives has Norway joined to tackle climate change on an international level?,ultrachat,chat
"
def by_length(arr):
    """"""
    Given an array of integers, sort the integers that are between 1 and 9 inclusive,
    reverse the resulting array, and then replace each digit by its corresponding name from
    ""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine"".

    For example:
      arr = [2, 1, 1, 4, 5, 8, 2, 3]   
            -> sort arr -> [1, 1, 2, 2, 3, 4, 5, 8] 
            -> reverse arr -> [8, 5, 4, 3, 2, 2, 1, 1]
      return [""Eight"", ""Five"", ""Four"", ""Three"", ""Two"", ""Two"", ""One"", ""One""]
    
      If the array is empty, return an empty array:
      arr = []
      return []
    
      If the array has any strange number ignore it:
      arr = [1, -1 , 55] 
            -> sort arr -> [-1, 1, 55]
            -> reverse arr -> [55, 1, -1]
      return = ['One']
    """"""
",humaneval,coding
"Write a fast-paced, action-packed thriller novel with the central protagonist as a woman who is wrongfully accused and framed for a serious crime she did not commit. Incorporate multiple plot twists and turns, powerful emotional moments, and complex character motivations. Make the storytelling gripping and suspenseful, with the reader on the edge of their seat throughout. Additionally, explore themes of betrayal, justice, and the corrupt nature of those in power.",ultrachat,chat
"Today, Andrew went to the basketball court. Between what times could they have gone?
We know that:
Andrew woke up at 6am.
Jessica saw Andrew stretching at a yoga studio from 6am to 11am.
Elizabeth saw Andrew walking in the garden from 11am to 6pm.
Emily saw Andrew watching a movie at the theater from 8pm to 9pm.
The basketball court was closed after 9pm.
Between what times could Andrew have gone to the basketball court?
Options:
(A) 11am to 6pm
(B) 8pm to 9pm
(C) 6am to 11am
(D) 6pm to 8pm",bbh,reasoning
"Develop a performance incentive program that enhances employee motivation and productivity, increases teamwork, and aligns with company goals and values. Consider using a combination of monetary and non-monetary incentives, such as recognition programs, bonuses, promotions, and professional development opportunities. Ensure that the program is clearly communicated to employees and their performance is accurately measured and tracked. Finally, regularly evaluate the program's effectiveness and make adjustments as needed to continuously improve employee engagement and performance.",ultrachat,chat
"Today, Michael went to the football field. Between what times could they have gone?
We know that:
Michael woke up at 10am.
John saw Michael taking photos near the Eiffel Tower from 12pm to 2pm.
Samantha saw Michael watching a movie at the theater from 2pm to 4pm.
Thomas saw Michael sitting on a rooftop from 4pm to 8pm.
The football field was closed after 8pm.
Between what times could Michael have gone to the football field?
Options:
(A) 12pm to 2pm
(B) 10am to 12pm
(C) 2pm to 4pm
(D) 4pm to 8pm",bbh,reasoning
"Today, Sarah went to the gas station. Between what times could they have gone?
We know that:
Sarah woke up at 7am.
Kimberly saw Sarah sitting on a rooftop from 7am to 9am.
Mark saw Sarah buying a bike at the bike shop from 11am to 2pm.
John saw Sarah buying cookies at a bakery from 2pm to 3pm.
William saw Sarah fixing their computer at the electronic store from 3pm to 4pm.
The gas station was closed after 4pm.
Between what times could Sarah have gone to the gas station?
Options:
(A) 11am to 2pm
(B) 2pm to 3pm
(C) 9am to 11am
(D) 3pm to 4pm",bbh,reasoning
"Today, David went to the clothing store. Between what times could they have gone?
We know that:
David woke up at 5am.
William saw David fixing their computer at the electronic store from 5am to 6am.
David saw David buying a bike at the bike shop from 6am to 9am.
John saw David waiting at the train station from 9am to 10am.
The clothing store was closed after 3pm.
Between what times could David have gone to the clothing store?
Options:
(A) 9am to 10am
(B) 6am to 9am
(C) 5am to 6am
(D) 10am to 3pm",bbh,reasoning
A store owner buys clothes wholesale and adds 80% to the wholesale price to set the retail price. The retail price of a pair of pants is $36. What is the wholesale price?,gsm8k,math
Write a function to remove similar rows from the given tuple matrix.,mbpp,coding
"Today, Hannah went to the art show. Between what times could they have gone?
We know that:
Hannah woke up at 7am.
Michael saw Hannah walking towards the Statue of Liberty from 7am to 8am.
Leslie saw Hannah reading at the library from 8am to 9am.
Jason saw Hannah sitting on a rooftop from 9am to 1pm.
Lisa saw Hannah fixing their computer at the electronic store from 7pm to 9pm.
Hannah saw Hannah watching a movie at the theater from 9pm to 10pm.
The art show was closed after 10pm.
Between what times could Hannah have gone to the art show?
Options:
(A) 7pm to 9pm
(B) 7am to 8am
(C) 1pm to 7pm
(D) 9pm to 10pm",bbh,reasoning
"Today, Mark went to the basketball court. Between what times could they have gone?
We know that:
Mark woke up at 12pm.
James saw Mark buying clothes at the mall from 12pm to 1pm.
Nancy saw Mark driving to the water park from 1pm to 4pm.
Richard saw Mark sitting on a rooftop from 5pm to 6pm.
John saw Mark getting a coffee at the cafe from 6pm to 10pm.
The basketball court was closed after 10pm.
Between what times could Mark have gone to the basketball court?
Options:
(A) 5pm to 6pm
(B) 1pm to 4pm
(C) 4pm to 5pm
(D) 12pm to 1pm",bbh,reasoning
"
def can_arrange(arr):
    """"""Create a function which returns the largest index of an element which
    is not greater than or equal to the element immediately preceding it. If
    no such element exists then return -1. The given array will not contain
    duplicate values.

    Examples:
    can_arrange([1,2,4,3,5]) = 3
    can_arrange([1,2,3]) = -1
    """"""
",humaneval,coding
"
def smallest_change(arr):
    """"""
    Given an array arr of integers, find the minimum number of elements that
    need to be changed to make the array palindromic. A palindromic array is an array that
    is read the same backwards and forwards. In one change, you can change one element to any other element.

    For example:
    smallest_change([1,2,3,5,4,7,9,6]) == 4
    smallest_change([1, 2, 3, 4, 3, 2, 2]) == 1
    smallest_change([1, 2, 3, 2, 1]) == 0
    """"""
",humaneval,coding
"Today, Jason went to the physics classroom. Between what times could they have gone?
We know that:
Jason woke up at 5am.
Leslie saw Jason buying a bike at the bike shop from 5am to 9am.
James saw Jason stretching at a yoga studio from 1pm to 8pm.
William saw Jason taking photos near the Leaning Tower of Pisa from 8pm to 9pm.
Richard saw Jason getting a coffee at the cafe from 9pm to 10pm.
The physics classroom was closed after 10pm.
Between what times could Jason have gone to the physics classroom?
Options:
(A) 5am to 9am
(B) 9am to 1pm
(C) 1pm to 8pm
(D) 8pm to 9pm",bbh,reasoning
"Today, Nancy went to the beach. Between what times could they have gone?
We know that:
Nancy woke up at 6am.
John saw Nancy walking in the garden from 6am to 10am.
Tiffany saw Nancy working at the office from 10am to 11am.
Leslie saw Nancy buying clothes at the mall from 11am to 12pm.
Michael saw Nancy taking photos near the Leaning Tower of Pisa from 1pm to 6pm.
The beach was closed after 6pm.
Between what times could Nancy have gone to the beach?
Options:
(A) 12pm to 1pm
(B) 10am to 11am
(C) 6am to 10am
(D) 1pm to 6pm",bbh,reasoning
"Today, Tiffany went to the construction site. Between what times could they have gone?
We know that:
Tiffany woke up at 7am.
William saw Tiffany attending class at the school from 7am to 9am.
Steven saw Tiffany waiting at the airport from 9am to 1pm.
Mark saw Tiffany buying lunch at the deli from 4pm to 7pm.
The construction site was closed after 7pm.
Between what times could Tiffany have gone to the construction site?
Options:
(A) 4pm to 7pm
(B) 9am to 1pm
(C) 7am to 9am
(D) 1pm to 4pm",bbh,reasoning
Write a function to find a path with the maximum average over all existing paths for the given square matrix of size n*n.,mbpp,coding
"
FIX = """"""
Add more test cases.
""""""

def vowels_count(s):
    """"""Write a function vowels_count which takes a string representing
    a word as input and returns the number of vowels in the string.
    Vowels in this case are 'a', 'e', 'i', 'o', 'u'. Here, 'y' is also a
    vowel, but only when it is at the end of the given word.

    Example:
    >>> vowels_count(""abcde"")
    2
    >>> vowels_count(""ACEDY"")
    3
    """"""
",humaneval,coding
"Mikail's birthday is tomorrow. He will be 3 times older than he was when he was three. On his birthday, his parents give him $5 for every year old he is. How much money will they give him?",gsm8k,math
"Write a comprehensive tutorial that includes step-by-step instructions, necessary ingredients, recommended tools, common mistakes to avoid, and tips for achieving the perfect sushi roll. Use clear and concise language that is easy for beginners to follow, but also includes enough detail for more experienced sushi makers. Include pictures or videos to demonstrate each step of the process, and offer suggestions for different variations or flavor profiles to try.",ultrachat,chat
"The novel that everyone is reading for English class has half as many pages as their history book.  Their science book has 4 times the amount of pages as their novel.  If the history book has 300 pages, how many pages does their science book have?",gsm8k,math
A farmer has three trucks to carry water to his farm. Each truck uses three tanks with a capacity of 150 liters of water. How many liters of water in total can the farmer carry in his trucks?,gsm8k,math
"Write a script for a horror movie about a possessed object that involves a group of teenagers and takes place in a secluded cabin in the woods. The script should have a classic horror movie feel, with jump scares and a suspenseful tone throughout. The possessed object should have a backstory and a clear reason for why it is haunted. There should be a point of no return where the teens are trapped and must fight for their lives to survive the evil entity possessing the object. The ending should leave the audience with a sense of dread and unease.",ultrachat,chat
"Today, Sean went to the orchestra hall. Between what times could they have gone?
We know that:
Sean woke up at 5am.
Sarah saw Sean fixing their computer at the electronic store from 5am to 6am.
Ashley saw Sean buying clothes at the mall from 6am to 7am.
Jessica saw Sean sitting on a rooftop from 7am to 9am.
Steven saw Sean walking towards the Statue of Liberty from 5pm to 8pm.
Michael saw Sean reading at the library from 8pm to 9pm.
The orchestra hall was closed after 9pm.
Between what times could Sean have gone to the orchestra hall?
Options:
(A) 9am to 5pm
(B) 5am to 6am
(C) 6am to 7am
(D) 8pm to 9pm",bbh,reasoning
"Today, Elizabeth went to the art studio. Between what times could they have gone?
We know that:
Elizabeth woke up at 6am.
Sean saw Elizabeth buying lunch at the deli from 6am to 8am.
Lisa saw Elizabeth working at the office from 8am to 9am.
David saw Elizabeth stretching at a yoga studio from 12pm to 1pm.
Samantha saw Elizabeth walking towards the Statue of Liberty from 1pm to 5pm.
The art studio was closed after 5pm.
Between what times could Elizabeth have gone to the art studio?
Options:
(A) 9am to 12pm
(B) 8am to 9am
(C) 6am to 8am
(D) 12pm to 1pm",bbh,reasoning
Write a function to find maximum of three numbers.,mbpp,coding
"Today, Nancy went to the physics classroom. Between what times could they have gone?
We know that:
Nancy woke up at 5am.
James saw Nancy sitting on a rooftop from 5am to 6am.
Jennifer saw Nancy walking towards the Statue of Liberty from 6am to 8am.
Elizabeth saw Nancy buying a bike at the bike shop from 8am to 10am.
Michael saw Nancy attending class at the school from 12pm to 5pm.
The physics classroom was closed after 5pm.
Between what times could Nancy have gone to the physics classroom?
Options:
(A) 10am to 12pm
(B) 5am to 6am
(C) 8am to 10am
(D) 12pm to 5pm",bbh,reasoning
Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?,gsm8k,math
"John buys 2 packs of gum and 3 candy bars.  Each stick of gum cost half as much as the candy bar.  If the candy bar cost $1.5 each, how much did he pay in total?",gsm8k,math
"Kenny plans to mow lawns all summer, and then use the profits to buy video-games and books. He charges $15 per lawn. The video-games are $45 each. The books are $5 each. At the end of the summer he has mowed 35 lawns. There are 5 video-games he really wants, and then he will use the rest for books. How many books can he buy?",gsm8k,math
Carl has been selling watermelons on the side of the road for $3 each. This evening he went home with $105 in profit and 18 watermelons. How many watermelons did he start out with this morning?,gsm8k,math
"Today, Andrew went to the coffee shop. Between what times could they have gone?
We know that:
Andrew woke up at 8am.
Elizabeth saw Andrew fixing their computer at the electronic store from 11am to 3pm.
Jennifer saw Andrew buying a bike at the bike shop from 3pm to 4pm.
Anthony saw Andrew buying cookies at a bakery from 4pm to 6pm.
Betty saw Andrew watching a movie at the theater from 6pm to 8pm.
The coffee shop was closed after 8pm.
Between what times could Andrew have gone to the coffee shop?
Options:
(A) 3pm to 4pm
(B) 6pm to 8pm
(C) 8am to 11am
(D) 11am to 3pm",bbh,reasoning
"How would you compare Kurt and Leslie's approach to navigating the Wildlands with that of the typical players and NPCs? What skills do they possess that enable them to navigate the terrain more effectively? Generate according to: A continuation of last week’s excerpt. The landslides were just the beginning. Kurt spent more time riding Noodles around the Dragon Tamer realm helping other NPCs save trapped players and their avatars in the recent week than he ever had in the months that the game had been open to the public. From avalanches in the frozen tundra in the northwest to quicksand and sticky swamps in the southeast, the NPCs had their virtual hands full. Kurt rarely saw Animus. When he did get a chance to see the moderator, it was she who found him just to ask for a brief update on the troubles that had been happening around the game. Kurt didn’t think too much of it. Rather, he was busy with his own duties. Such as responding to a call with other NPCs from avatars stranded in the middle of the sea with too-small dragon partners to help them get back to shore. “What happened?” Leslie was the first NPC to call down to the players clinging to a slowly sinking ship. It seemed to be a party with about half a dozen players, some with full-grown element dragons but most with Spirit dragons getting ready to evolve. “Where did you think you were going with such young dragons in the first place?” Leslie snapped. Kurt brought Noodles around to the front of the ship, allowing a couple of the avatars to cling to his dragon rather than the floating debris. Another Water dragon master NPC, Simon, did the same. “We wanted to explore the other islands on the other side of the sea,” Nitrogue said, pointing to the pixilated landmasses that were off in the distance. “Are the monsters not sufficient enough of a challenge for you?” Kurt asked. “What could be wrong?” Kurt asked gently. That effectively ended all conversation until the group returned to the main land. There Nitrogue and his party gave the NPCs a grudging thank you before they went off toward the Central Hub. “I haven’t seen either of them in a while,” Kurt said. He gave Noodles’ neck a rub before directing her to follow Leslie and Rosie. “How often do you see him?” Kurt asked. Kurt merely nodded in response and the rest of the ride to the Wildlands was silent. Eventually, the pair of NPCs landed at the edge of the Labyrinth that looked out over the Wildlands. The Wildlands had an appropriate name. While the landscape didn’t have quite enough trees to be called a forest, it was rather green and brown with foliage. Thorny and sticky bushes and undergrowth were a favorite hiding spots for the monsters that plagued the area, and it granted those who wished for their Spirit hatchling to grow into an Earth element dragon plenty of opportunities to gain experience. There were areas spotted with barren earth, rich in yellows and reds in color, which boasted sandy terrains and valleys, generally hiding quicksand if one was not swift on his or her feet. While Kurt had some experience in the Wildlands, he was more than content to follow Leslie’s footsteps obediently. Leslie confidently strode through the Wildlands, finding paths and easier roads to follow rather than the crude trails that most players and NPCs, Kurt himself included, would have taken. She deftly stepped over quicksand spots and Kurt did his best to mimic her footsteps. He was proud that Noodles had to pull him out of a tight spot only once. It wasn’t too long that Leslie pulled back a curtain of vines to reveal a small cave lit with fireflies. “Just follow the path,” Leslie said, allowing Kurt to go first. Noodles shrunk down to fit in Kurt’s arms and he absently stroked her back as he marveled at the colorful glows around him. The cave was simple to navigate with enough of the bugs to light the path, even as they began to dwindle in number. When Kurt passed the last violet-hued firefly, the pathway became brighter as they emerged into a grassy clearing. “What is this place?” Kurt asked as Leslie stepped up beside him. Rosie was perched atop of her head. Kurt shared her smile as he followed her down into the clearing. In the middle of the area were a couple of rather large trees. In between them was an equally large hammock stretched across, large enough for the giant Earth dragon to comfortable lay down and take a snooze at full size. Kurt realized that the Earth dragon was Gears’ dragon Soreth and, upon inspecting the creature closer, Kurt realized that there was Gears himself lounging against Soreth’s neck. Holographic images with bits and pieces of code were in front of the Dragon Tamer’s administrator as he typed away on a matching keyboard. The images were created from varying shades of green and gray, with their source emitting from the goggles obscuring Gears’ face. Every so often Gears would touch the holographic screen and flip or swipe it to reveal another page of code and programming before continuing to type away. “We just rescued a bunch of stupid players,” Leslie said, getting right down to the point. Her choice of words made Gears glance down at them, one dark eyebrow rising from behind his avatar’s goggles before he pushed the goggles up to rest at the top of his forehead. “We’re not sure if it’s just that,” Kurt said. Soreth woke up and snaked down to the ground, allowing Gears to hop off and stand in front of the NPCs. The administrator had a shorter avatar than either of the two NPCs and he didn’t seem to mind looking up at Kurt and Leslie. “Tell me what you’re thinking,” Gears said. “I wouldn’t do that,” Gears said. “Why not?” Kurt found himself asking. “Of course it is,” Gears said. “Is that bad?” Kurt asked. Really like the philosophical aspect you’re getting into with the NPCs and Gears. Reminds me of the movie Robot & Frank a little, if you’ve ever seen it.",ultrachat,chat
Write a python function to find the last two digits in factorial of a given number.,mbpp,coding
"Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?",gsm8k,math
"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
",humaneval,coding
"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an input.
    it returns True if there are three distinct elements in the list that
    sum to zero, and False otherwise.

    >>> triples_sum_to_zero([1, 3, 5, 0])
    False
    >>> triples_sum_to_zero([1, 3, -2, 1])
    True
    >>> triples_sum_to_zero([1, 2, 3, 7])
    False
    >>> triples_sum_to_zero([2, 4, -5, 3, 9, 7])
    True
    >>> triples_sum_to_zero([1])
    False
    """"""
",humaneval,coding
Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?,gsm8k,math
Write function to find the sum of all items in the given dictionary.,mbpp,coding
"Today, Elizabeth went to the bakery. Between what times could they have gone?
We know that:
Elizabeth woke up at 8am.
David saw Elizabeth attending class at the school from 8am to 4pm.
Elizabeth saw Elizabeth fixing their computer at the electronic store from 4pm to 5pm.
Ashley saw Elizabeth getting a coffee at the cafe from 5pm to 9pm.
The bakery was closed after 10pm.
Between what times could Elizabeth have gone to the bakery?
Options:
(A) 8am to 4pm
(B) 9pm to 10pm
(C) 4pm to 5pm
(D) 5pm to 9pm",bbh,reasoning
Hazel put up a lemonade stand. She sold half her lemonade to a construction crew. She sold 18 cups to kids on bikes. She gave away half that amount to her friends. Then she drank the last cup of lemonade herself. How many cups of lemonade did Hazel make?,gsm8k,math
Write a function to sort a list of lists by length and value.,mbpp,coding
"Create a line graph comparing the increase in carbon emissions from human activities over the past 50 years to the corresponding rise in global temperatures. Include a title, axis labels, and data points that clearly illustrate the correlation between emissions and temperature. Use colors or labels to differentiate between the two lines, and include a brief explanation of the significance of the data in the graph's caption.",ultrachat,chat
"
def circular_shift(x, shift):
    """"""Circular shift the digits of the integer x, shift the digits right by shift
    and return the result as a string.
    If shift > number of digits, return digits reversed.
    >>> circular_shift(12, 1)
    ""21""
    >>> circular_shift(12, 2)
    ""12""
    """"""
",humaneval,coding
Write a python function to find the length of the last word in a given string.,mbpp,coding
"Today, Nancy went to the soccer field. Between what times could they have gone?
We know that:
Nancy woke up at 5am.
William saw Nancy attending class at the school from 5am to 11am.
Leslie saw Nancy waiting at the train station from 11am to 12pm.
Nancy saw Nancy reading at the library from 3pm to 8pm.
The soccer field was closed after 8pm.
Between what times could Nancy have gone to the soccer field?
Options:
(A) 3pm to 8pm
(B) 12pm to 3pm
(C) 5am to 11am
(D) 11am to 12pm",bbh,reasoning
"Nancy's ex owes her child support. He's supposed to pay 30% of his income each year. For 3 years, he made $30,000/year, then he got a 20% raise for the next four years. If he's only ever paid $1,200, how much does he owe her?",gsm8k,math
"Today, William went to the market. Between what times could they have gone?
We know that:
William woke up at 8am.
Thomas saw William fixing their computer at the electronic store from 8am to 10am.
James saw William waiting at the train station from 10am to 11am.
Steven saw William sitting on a rooftop from 11am to 6pm.
Emily saw William taking photos near the Leaning Tower of Pisa from 6pm to 9pm.
The market was closed after 10pm.
Between what times could William have gone to the market?
Options:
(A) 11am to 6pm
(B) 9pm to 10pm
(C) 6pm to 9pm
(D) 8am to 10am",bbh,reasoning
"Write a compelling mystery novella in a first-person narrative style about a woman who embarks on a dangerous journey to uncover the truth behind her mother's disappearance. Explore themes of family secrets, betrayal, and unexpected plot twists to keep the reader engaged. Use vivid imagery and descriptive language to create a sense of suspense and intrigue, while also developing complex characters with unique motivations and backstories. The novella should be between 30,000 and 40,000 words in length, with well-crafted dialogue and a satisfying resolution to the mystery.",ultrachat,chat
Write a function to count the number of unique lists within a list.,mbpp,coding
Which countries have the strongest cultural connection to the art of glassblowing and what historical events influenced its evolution in these regions?,ultrachat,chat
"Write a fictional short story of at least 1,500 words about a person who starts their journey as a musician with zero experience and goes through a journey full of hardships, long hours of practice, extensive sacrifices, and emotional breakdowns, but eventually becomes a successful musician who performs at a world-renowned music festival. The story should highlight the protagonist's musical talent, training, and struggles, including their family and social life, as well as their personal and professional relationships. You should use vivid imagery, dialogue, and descriptive language to fully transport the readers into the story's world and capture the significant moments of the protagonist's musical journey. Finally, include a climactic performance or moment at the music festival that shows the ultimate culmination of the protagonist's hard work and dedication.",ultrachat,chat
Write a function to multiply the adjacent elements of the given tuple.,mbpp,coding
"Today, Leslie went to the market. Between what times could they have gone?
We know that:
Leslie woke up at 6am.
Anthony saw Leslie getting a coffee at the cafe from 6am to 9am.
Sarah saw Leslie taking photos near the Leaning Tower of Pisa from 9am to 10am.
Jason saw Leslie buying clothes at the mall from 10am to 11am.
Lisa saw Leslie stretching at a yoga studio from 5pm to 6pm.
The market was closed after 6pm.
Between what times could Leslie have gone to the market?
Options:
(A) 6am to 9am
(B) 11am to 5pm
(C) 10am to 11am
(D) 9am to 10am",bbh,reasoning
"A store is comparing their profits throughout the year. They had profits of $1,500 in the first quarter of the year, $3,000 in the third quarter, and $2,000 in the fourth quarter. If their annual profits are $8,000, how much profit, in dollars, did they make in the second quarter?",gsm8k,math
James buys 10 shirts and half as many pants.  The shirts cost $6 each and the pants cost $8 each.  How much did everything cost?,gsm8k,math
"Today, Samantha went to the amusement park. Between what times could they have gone?
We know that:
Samantha woke up at 5am.
Hannah saw Samantha buying a phone at the electronics store from 5am to 7am.
James saw Samantha working out at the gym from 7am to 8am.
Richard saw Samantha working at the office from 8am to 11am.
Mark saw Samantha buying lunch at the deli from 11am to 2pm.
William saw Samantha buying a bike at the bike shop from 7pm to 8pm.
The amusement park was closed after 8pm.
Between what times could Samantha have gone to the amusement park?
Options:
(A) 2pm to 7pm
(B) 11am to 2pm
(C) 5am to 7am
(D) 7am to 8am",bbh,reasoning
"Today, Kimberly went to the football field. Between what times could they have gone?
We know that:
Kimberly woke up at 6am.
William saw Kimberly buying a phone at the electronics store from 6am to 8am.
Jason saw Kimberly waiting at the train station from 8am to 9am.
Tiffany saw Kimberly walking towards the Statue of Liberty from 9am to 1pm.
Linda saw Kimberly stretching at a yoga studio from 3pm to 8pm.
Sean saw Kimberly driving to the water park from 8pm to 9pm.
The football field was closed after 9pm.
Between what times could Kimberly have gone to the football field?
Options:
(A) 8am to 9am
(B) 9am to 1pm
(C) 1pm to 3pm
(D) 8pm to 9pm",bbh,reasoning
"What is the political climate like in Venezuela, and how has it affected the country's economy?",ultrachat,chat
"Today, James went to the swimming pool. Between what times could they have gone?
We know that:
James woke up at 5am.
Ashley saw James sitting on a rooftop from 7am to 9am.
Hannah saw James taking photos near the Eiffel Tower from 9am to 7pm.
William saw James buying cookies at a bakery from 7pm to 8pm.
Linda saw James waiting at the train station from 8pm to 10pm.
The swimming pool was closed after 10pm.
Between what times could James have gone to the swimming pool?
Options:
(A) 7pm to 8pm
(B) 8pm to 10pm
(C) 5am to 7am
(D) 7am to 9am",bbh,reasoning
Write a function to access dictionary key’s element by index.,mbpp,coding
"
def even_odd_count(num):
    """"""Given an integer. return a tuple that has the number of even and odd digits respectively.

     Example:
        even_odd_count(-12) ==> (1, 1)
        even_odd_count(123) ==> (1, 2)
    """"""
",humaneval,coding
"Marnie makes bead bracelets. She bought 5 bags of 50 beads and 2 bags of 100 beads. If 50 beads are used to make one bracelet, how many bracelets will Marnie be able to make out of the beads she bought?",gsm8k,math
"Design a comprehensive experiment using a randomized controlled trial to investigate the impact of exposure to artificial light on sleep quality. Develop a hypothesis, research question, and methods for data collection, such as observing and recording participants’ sleep patterns, measuring their reaction times and cognitive function and assessing their mood and energy levels. Create a framework for accurately interpreting and presenting the results using appropriate statistical methods and data visualization techniques. Consider the potential limitations of the study, including sample size, unpredictable human behavior, and environmental influences. Finally, outline the implications of the study for future research and practical applications in healthcare, lighting design, and sleep therapy.",ultrachat,chat
Write a function to check if the string is a valid email address or not using regex.,mbpp,coding
"Here is a piece of text: Those looking for a cheap vacation should start thinking about the Lone Star State.
Getting good deals on airfare are few and far between these days, so when American Airlines sent out a release listing a SFO to Dallas round trip deal for $99 we thought it was worthy of sharing.
The deal is good for trip through October 27 and needs to be made three weeks in advance. (So basically you need to be able to travel the second, third or fourth week of October.
American has 11 round-trip flights a day between DFW and San Francisco.
Here's the link to the airline.
Of course if you have family in Dallas who are due for a visit here and October is a good fit, that would work as well.

Based on the text material above, generate the response to the following quesion or instruction: Are these deals available throughout the year or just in October?",ultrachat,chat
Write a function to count the most common character in a given string.,mbpp,coding
